Date,Close,LSTM-PRED,RNN-PRED,XGBOOST-PRED
2018-06-25,264.5,294.6521,245.23647,210.11002
2018-06-26,267.35,292.916,242.28537,210.11002
2018-06-27,265.6,291.32407,244.09967,210.11002
2018-06-28,263.95,289.9758,245.16043,210.11002
2018-06-29,269.35,288.8511,247.84363,210.11002
2018-07-02,264.45,288.22012,247.63297,210.11002
2018-07-03,281.0,287.85544,249.38176,210.11002
2018-07-04,277.3,288.48502,247.46565,210.11002
2018-07-05,271.25,289.94022,252.81082,210.11002
2018-07-06,266.3,291.68918,253.18083,210.11002
2018-07-09,275.25,293.182,254.76567,210.11002
2018-07-10,274.75,294.64966,251.14233,210.11002
2018-07-11,269.8,296.05637,250.28,210.11002
2018-07-12,265.2,297.10883,252.38435,210.11002
2018-07-13,258.9,297.50974,250.72194,210.11002
2018-07-16,243.25,296.94147,251.59792,210.11002
2018-07-17,247.89999999999998,294.70987,247.02399,210.11002
2018-07-18,238.65,291.2162,239.70076,210.11002
2018-07-19,233.09999999999997,286.4697,237.3512,210.11002
2018-07-20,238.60000000000002,280.6464,231.60928,210.11002
2018-07-23,243.3,274.509,228.71721,210.11002
2018-07-24,246.3,268.83755,225.8544,210.11002
2018-07-25,236.9,264.20474,227.96375,210.11002
2018-07-26,239.1,260.38065,233.70247,210.11002
2018-07-27,242.25,257.42792,231.10309,210.11002
2018-07-30,242.2,255.46123,232.59396,210.11002
2018-07-31,246.90000000000003,254.4128,229.39151,210.11002
2018-08-01,235.65,254.36485,229.433,210.11002
2018-08-02,235.44999999999996,254.6251,233.0241,210.11002
2018-08-03,234.65,254.88979,228.54031,210.11002
2018-08-06,239.49999999999997,254.977,227.94116,210.11002
2018-08-07,237.60000000000002,255.07349,222.02791,210.11002
2018-08-08,236.34999999999997,255.14246,224.99345,210.11002
2018-08-09,237.30000000000004,255.12851,226.0486,210.11002
2018-08-10,233.55,255.07764,225.54373,210.11002
2018-08-13,234.55,254.83469,226.84872,210.11002
2018-08-14,237.55,254.44286,223.39809,210.11002
2018-08-16,239.35,254.09546,225.09225,210.11002
2018-08-17,243.0,253.95056,224.01611,210.11002
2018-08-20,245.15,254.21391,225.77179,210.11002
2018-08-21,240.55000000000004,254.98141,227.3614,210.11002
2018-08-23,235.44999999999996,255.95222,229.23007,210.11002
2018-08-24,230.99999999999997,256.7064,230.3973,210.11002
2018-08-27,237.04999999999998,256.88095,227.66968,210.11002
2018-08-28,233.35000000000002,256.71954,223.82558,210.11002
2018-08-29,234.55,256.17557,223.12074,210.11002
2018-08-30,236.0,255.39372,221.82002,210.11002
2018-08-31,234.3,254.5657,223.34138,210.11002
2018-09-03,236.70000000000002,253.7225,223.37228,210.11002
2018-09-04,223.69999999999996,253.03331,223.22917,210.11002
2018-09-05,222.40000000000003,251.93633,225.53192,210.11002
2018-09-06,221.05000000000004,250.30519,220.68729,210.11002
2018-09-07,222.95000000000002,248.16826,219.39731,210.11002
2018-09-10,222.0,245.79173,213.11919,210.11002
2018-09-11,216.00000000000003,243.3594,213.48203,210.11002
2018-09-12,222.65,240.77351,214.19168,210.11002
2018-09-14,233.95,238.4475,211.05692,210.11002
2018-09-17,236.60000000000002,237.08229,212.80199,210.11002
2018-09-18,235.05000000000004,236.9424,214.36006,210.11002
2018-09-19,234.9,237.86954,222.00276,210.11002
2018-09-21,234.6,239.5885,224.91972,210.11002
2018-09-24,233.3,241.77159,224.65323,210.11002
2018-09-25,236.1,244.06001,223.69664,210.11002
2018-09-26,234.25000000000003,246.33788,221.11986,210.11002
2018-09-27,233.25000000000003,248.37563,222.73508,210.11002
2018-09-28,233.75,250.00786,221.82092,210.11002
2018-10-01,230.89999999999998,251.20439,221.37865,210.11002
2018-10-03,227.6,251.8468,220.74979,210.11002
2018-10-04,218.2,251.8144,220.84056,210.11002
2018-10-05,209.2,250.74188,220.54138,210.11002
2018-10-08,215.15000000000003,248.31216,215.93431,210.11002
